"Salish Creek Abiotic Data, Sept 20-22 2022",,,,,,,,,,,,
Site,Soil pH,Water pH,O2 (mg/L),CO2 (ppm),Salinity (ppt),Light (lux),Organic content (start) g,Organic content (end) g,Change in mass (H-I) g,Change in mass (% loss),Air temp (C),Water temp (C)
upper,6.5,6,15.7,24.3,0,44,51.4,50.64,0.76,1.478599222,19,16.5
upper,5.5,7,1.79,15,1,274,35.25,34.88,0.37,1.05,21,14.5
upper,6.3,6.5,5.75,3.8,0,402,44.23,43.92,0.31,0.70,16.7,13
upper,5.3,6.2,3.79,17,0,29,48.58,48.39,0.19,0.39,19,14
upper,6.75,6.76,5.30,20,0,1100,34.73,34.57,0.16,0.46,18,12
upper,6.5,6.5,2.73,0.95,0,496,19.14,NA,NA,NA,17,11
upper,6.5,7,3.73,13,0,193,41.09,40.25,0.84,2.04,20,14
upper,6.5,7,5.24,9,0,2081,62.52,61.92,0.6,0.96,18,16.8
upper,6.5,6,5.73,15,0.1,154,55.79,55.32,0.47,0.84,19.8,19.8
upper,7,7,4.49,12,4,361,89.04,88.65,0.39,0.44,22.3,16.3
upper,7,7,8.51,21,0.1,33,45.62,45.37,0.25,0.55,17.2,15
upper,6.5,6,3.80,52,1,729,32.36,32.01,0.35,1.08,20,16.5
upper,6,7,2.45,25,0,660,40.62,40.47,0.15,0.37,20,16.7
upper,6.5,6,3.09,1.8,0,69,25.24,25.12,0.12,0.48,20,16.9
upper,7,6.5,3.28,20,0,440,52.05,52.89,-0.84,-1.61,16,12.5
upper,6.5,6.2,6.4,5,1,2579,60.92,60.75,0.17,0.28,24.9,16.5
upper,6.7,6,2.35,14.2,0.01,139,24.84,24.7,0.14,0.56,20,13
upper,6,6,2.56,12,0,89,20.39,20.14,0.25,1.23,17,16
upper,6,6,4.01,18,0,1172,26.56,26.28,0.28,1.05,20,15
upper,6.5,6,4.87,10.5,0,184,39.48,39.18,0.3,0.76,22,12
upper,7.5,7,9.27,5,0,509,40.5,40.2,0.3,0.74,18,15
upper,7.5,7,6.81,10,0,300,38.8,38.71,0.09,0.23,19,15
upper,7,6,4,13,0,25,37.39,37.28,0.11,0.29,17,16
lower ,7,7,16.82,7,0,443,44.70,42.27,2.43,5.44,20,15
lower ,7,6.85,10.45,5,1,1382,42.8,42.6,0.2,0.47,18,11
lower ,6.7,6.8,11.22,6,1,560,45.91,45.69,0.22,0.48,14,12
lower ,6,6.5,9.54,6,0,228,44.34,44.27,0.07,0.16,16,13.5
lower ,7,6.5,8.26,6,0,200,30.55,31.14,-0.59,-1.93,15,12
lower ,7,7,9.55,3.33,0,926,25.6,19.9,5.7,22.27,17,13
lower ,7,7,9.83,5.5,0,302,50.6,54.1,-3.5,-6.92,19,13
lower ,7.5,7,9.59,6,0,137,38.7,38.5,0.2,0.52,18,16.5
lower ,7.5,6,9.97,4,0.1,216,50.70,50.60,0.10,0.20,19,15.4
lower ,7,7,8.73,4,0,241,41.05,41.57,-0.52,-1.27,19.3,14.9
lower ,7,6,8.6,7,0.5,209,43,43.05,-0.05,-0.12,15.5,14.8
lower ,6.5,7,105.4,4,0,3248,52.48,52.25,0.23,0.44,19,12
lower ,7.5,7,10.5,3,1.01,3700,52.45,51.27,1.18,2.25,21.5,14.4
lower ,7.5,6,10.41,0.5,0,1039,45.25,45.09,0.16,0.35,16,13.1
lower ,6.75,6.5,9.45,5,0,2227,54.041,52.806,1.235,2.29,19,13.9
lower ,7.2,6.6,8.5,3,1,1923,48.95,48.75,0.2,0.41,22.5,14.2
lower ,7.25,7,92.6,3,0,320,47.335,47.1,0.235,0.50,19.1,11.1
lower ,7.5,6.5,6.36,2,0,267,48.8,48.57,0.23,0.47,17,16
lower ,7.5,6,9.33,3,0,4444,37.53,36.70,0.83,2.21,17,16
lower ,7,6,9.34,5.5,0,301,35.25,NA,NA,NA,16.5,11.3
lower ,7,6,5.75,10,0,185,43.87,42.75,1.12,2.55,21,16
lower ,7,7,10.44,4,0,467,44.8,44.4,0.4,0.89,19,13
lower ,7,6.5,7.1,4,0,70,41.8,41.4,0.4,0.96,17,15
